"b_Price","b_Acceleration","b_OpCost","b_hev","b_phev20","b_phev40","b_bev","b_bevRangeRel","b_noBEVFC","b_american","b_chinese","b_japanese","b_skorean","lambda_ICE","lambda_BEV","alpha_PHEV_ICE_logistic","logLike"
-0.0551770740485921,-0.07248217764577,-0.102440425157674,0.0571859216984172,0.0299505667620858,0.134574700867636,-0.236188403120547,0.261736505622171,-0.230454553306659,-0.098341346693165,-1.01788111359491,-0.035528517519437,-0.323840634391668,0.701572504809959,0.78037809375106,3.03942504582932,-9285.91618511744
-0.0551770740485921,-0.07248217764577,-0.102440425157674,0.0571859216984172,0.0299505667620858,0.134574700867636,-0.236188403120547,0.261736505622171,-0.230454553306659,-0.098341346693165,-1.01788111359491,-0.035528517519437,-0.323840634391668,0.701572504809959,0.78037809375106,3.03942504582932,-9285.91618511744
-0.0551770740485921,-0.07248217764577,-0.102440425157674,0.0571859216984172,0.0299505667620858,0.134574700867636,-0.236188403120547,0.261736505622171,-0.230454553306659,-0.098341346693165,-1.01788111359491,-0.035528517519437,-0.323840634391668,0.701572504809959,0.78037809375106,3.03942504582932,-9285.91618511744
-0.0551770740485921,-0.07248217764577,-0.102440425157674,0.0571859216984172,0.0299505667620858,0.134574700867636,-0.236188403120547,0.261736505622171,-0.230454553306659,-0.098341346693165,-1.01788111359491,-0.035528517519437,-0.323840634391668,0.701572504809959,0.78037809375106,3.03942504582932,-9285.91618511744
-0.0551770418872297,-0.0724821773840684,-0.102440426291093,0.0571859202250648,0.0299505675052812,0.134574701591273,-0.236188402478866,0.261736504578158,-0.230454552559739,-0.098341346496656,-1.01788111275485,-0.0355285178277048,-0.323840634946737,0.70157250239504,0.780378091665829,3.03942504592898,-9285.91618511585
-0.0551769594582305,-0.072481807392219,-0.102440542574736,0.0571849594535852,0.0299510301307249,0.134575163313702,-0.236187945461997,0.26173566370437,-0.230454021755964,-0.0983412723659569,-1.01788045656657,-0.0355287473221707,-0.323840991391865,0.701570505699745,0.780376454279012,3.03942510452966,-9285.91618509401
-0.0551769196867876,-0.07248179283341,-0.102440236452578,0.0571846015676107,0.0299512164692439,0.134575346919617,-0.236187795161179,0.261735395941961,-0.230453828575356,-0.0983412570698422,-1.01788017890496,-0.0355288425574085,-0.323841116556892,0.701569778018932,0.780375812653794,3.03942512721321,-9285.91618508517
-0.0551769003419163,-0.0724822431503404,-0.102440269549796,0.0571843443700413,0.0299514357147309,0.134575550021967,-0.236187810468481,0.261735493898505,-0.230453708845302,-0.0983413443161151,-1.01787971432738,-0.035528980143538,-0.323841146363993,0.701569271709408,0.780375070985111,3.03942514866038,-9285.91618508002
-0.0551768182775077,-0.0724815917905557,-0.102440076215243,0.0571837365854667,0.0299524141234746,0.134576385816851,-0.23618843934654,0.261736905810336,-0.23045348836904,-0.0983420564782313,-1.01787715033829,-0.0355296702408073,-0.323840861443132,0.701568320383772,0.780372089433713,3.03942523234623,-9285.91618507787
-0.0551767975863137,-0.0724815545454356,-0.102440042655584,0.0571837747341113,0.02995267585873,0.134576539633148,-0.236188535790125,0.261736278962093,-0.230453278349341,-0.0983425226960512,-1.01787576087752,-0.0355298737666748,-0.323840405190264,0.701568514468413,0.780371502973115,3.03942526155937,-9285.91618507375
-0.0551767709631616,-0.0724815189819176,-0.102439984555793,0.0571847462606913,0.0299525988842063,0.134576236495545,-0.236187973624152,0.26173652897426,-0.230452371650125,-0.0983418678074866,-1.01787390421766,-0.0355289309383279,-0.323839239269872,0.701567728251889,0.780371577627487,3.03942530007367,-9285.91618507223
-0.0551767528780594,-0.0724814911831975,-0.102439950390675,0.0571857214867668,0.029952963500122,0.13457655417833,-0.236188395803395,0.261736130129252,-0.230452652610548,-0.0983400242161669,-1.0178726586565,-0.0355274016153479,-0.323838006609601,0.701567388141693,0.780371000757445,3.03942534739676,-9285.9161850716
-0.0551767590897487,-0.0724814970562813,-0.102439959372087,0.0571852244025526,0.0299532503606425,0.134576901130278,-0.236187977726725,0.26173620116385,-0.230452683934888,-0.0983394682095394,-1.01787237295278,-0.0355269477879304,-0.32383742398931,0.701567652693015,0.78037101081789,3.03942536668941,-9285.91618507141
-0.0551767585640263,-0.0724814981306324,-0.102439958297964,0.0571852151845468,0.0299533078252654,0.134576958828166,-0.236187882812671,0.261736211474648,-0.230452877673844,-0.0983395326011759,-1.01787230190995,-0.0355268618539214,-0.323837426307981,0.701567586512244,0.780371082456286,3.03942537433095,-9285.91618507134
-0.0551767533761699,-0.0724814950583874,-0.102439947730534,0.0571858343301453,0.0299534762074082,0.134577172020812,-0.236186702587641,0.261736192352765,-0.230453625549959,-0.0983393946983135,-1.01787227968112,-0.0355272793400165,-0.323837479597336,0.701567650897197,0.780370768526072,3.03942546890437,-9285.91618507118
-0.0551767470310194,-0.0724814957174046,-0.102439938443358,0.0571871872153132,0.0299549963265831,0.134578540505243,-0.236185509372165,0.261736036920441,-0.230453174844491,-0.0983400740656429,-1.01787295684187,-0.0355269693142072,-0.323837903231177,0.701567772278432,0.780370423091003,3.03942581170705,-9285.91618506989
-0.0551767435336389,-0.0724815251405197,-0.102439937097703,0.0571877329409604,0.0299559355920886,0.134579701605814,-0.236185328170795,0.261735933122597,-0.230452883766589,-0.0983399280936048,-1.01787301927025,-0.0355277469216491,-0.323838147774758,0.701567428680161,0.780370983443823,3.03942611765189,-9285.9161850686
-0.0551767015527997,-0.0724815637377286,-0.102439847694902,0.0571862911690381,0.0299549306184612,0.134578878658089,-0.236185795172709,0.261735290668051,-0.230452619405755,-0.0983400162832643,-1.01787289497638,-0.0355278551010494,-0.323838888045839,0.701566865052999,0.780370566472512,3.0394273314637,-9285.91618505971
-0.0551766941738814,-0.0724815624207177,-0.102439833054994,0.0571861630259339,0.0299549064662071,0.134578708469381,-0.236185898600949,0.261735212307117,-0.230452661861063,-0.0983401811939627,-1.01787310661029,-0.0355279725367235,-0.323838482926219,0.701566651666687,0.780370489362668,3.03942745483795,-9285.91618505885
-0.0551766944021258,-0.0724815637801698,-0.102439833559742,0.0571861464781959,0.0299550287557822,0.134578587983073,-0.236185902250989,0.261735210694749,-0.230452665819089,-0.098340159164339,-1.01787310033293,-0.0355279851529951,-0.323838504120481,0.70156665407743,0.780370498368346,3.03942747426822,-9285.91618505884
-0.055176609897194,-0.0724816556515063,-0.102439648303891,0.0571822523423479,0.0299520632886252,0.134576024345366,-0.236188073958815,0.261733871891885,-0.230452013029968,-0.0983407118894856,-1.01787323810372,-0.0355281644900704,-0.323839229059618,0.701565182107391,0.780369892880508,3.03944436193628,-9285.91618505671
-0.0551766464084627,-0.0724816196518418,-0.102439728243052,0.0571838671209375,0.0299532660236045,0.13457704912758,-0.236187186580821,0.261734435956673,-0.230452285490541,-0.0983404890755999,-1.01787321986575,-0.0355281051201815,-0.323838941801755,0.701565825998901,0.78037017395238,3.03944020858104,-9285.91618505458
-0.0551766474194255,-0.0724816210618093,-0.102439730126949,0.0571838718744776,0.029953258511314,0.134577031835123,-0.236187188997463,0.261734442135682,-0.230452288151375,-0.0983404873287015,-1.01787323591324,-0.0355281085458493,-0.323838947256472,0.701565844360851,0.780370190279643,3.0394417654857,-9285.91618505458
-0.0551766539610427,-0.0724816313551385,-0.102439741836376,0.0571838977445569,0.0299531762100904,0.134576934096728,-0.236187210496568,0.261734481145819,-0.230452312894417,-0.0983404875293707,-1.01787333741417,-0.0355281195188505,-0.323838980878154,0.701565948557881,0.780370298029827,3.03945218014995,-9285.91618505458
-0.0551766539610427,-0.0724816313551385,-0.102439741836376,0.0571838977445569,0.0299531762100904,0.134576934096728,-0.236187210496568,0.261734481145819,-0.230452312894417,-0.0983404875293707,-1.01787333741417,-0.0355281195188505,-0.323838980878154,0.701565948557881,0.780370298029827,3.03945218014995,-9285.91618505458
-0.0551766539610427,-0.0724816313551385,-0.102439741836376,0.0571838977445569,0.0299531762100904,0.134576934096728,-0.236187210496568,0.261734481145819,-0.230452312894417,-0.0983404875293707,-1.01787333741417,-0.0355281195188505,-0.323838980878154,0.701565948557881,0.780370298029827,3.03945218014995,-9285.91618505458
