"b_Price","b_Acceleration","b_OpCost","b_hev","b_phev20","b_phev40","b_bev","b_bevRangeRel","b_noBEVFC","b_american","b_chinese","b_japanese","b_skorean","lambda_ICE","lambda_PHEV","lambda_BEV","logLike"
-0.0586635369320667,-0.0735225907745879,-0.110019249149272,0.0651702377955155,0.0354603355255119,0.134500212205835,-0.211175570708327,0.272867950706336,-0.237859809792874,-0.105375100713413,-1.08614977116529,-0.0474503707138031,-0.343951565255843,0.75590193278735,0.588791291502184,0.819354349131955,-9282.27832110769
-0.0586635369320667,-0.0735225907745879,-0.110019249149272,0.0651702377955155,0.0354603355255119,0.134500212205835,-0.211175570708327,0.272867950706336,-0.237859809792874,-0.105375100713413,-1.08614977116529,-0.0474503707138031,-0.343951565255843,0.75590193278735,0.588791291502184,0.819354349131955,-9282.27832110769
-0.0586634914229891,-0.0735225924276854,-0.110019258257607,0.0651702402774902,0.0354603332903378,0.13450021004051,-0.211175568515062,0.272867955372262,-0.237859807711368,-0.105375103372339,-1.08614977194294,-0.0474503715193972,-0.343951562094002,0.755901932331002,0.588791289369455,0.819354347860699,-9282.27832110766
-0.0586634987559607,-0.0735226238071497,-0.110019451348932,0.0651703047599144,0.0354602728733369,0.134500152684807,-0.211175506851474,0.272868067245031,-0.237859749132111,-0.105375176778907,-1.08614978567114,-0.0474503946339653,-0.343951478616808,0.755901913459079,0.588791223023402,0.819354297102657,-9282.2783211073
-0.0586634899170936,-0.0735228164874122,-0.110019313773834,0.0651709302638238,0.0354597029478313,0.134499611699314,-0.211174941644338,0.272869070854121,-0.237859215565977,-0.105375861659258,-1.08614993879614,-0.0474506140883984,-0.343950695078881,0.755901754564756,0.588790626385017,0.819353895477421,-9282.2783211058
-0.0586634861449736,-0.0735226661014484,-0.110019309581471,0.0651710405565357,0.0354596047289427,0.134499519484753,-0.211174848722419,0.272869078659065,-0.237859140024872,-0.105375965107136,-1.08614996257333,-0.0474506503744319,-0.343950584436016,0.75590172314577,0.588790528232,0.8193538530292,-9282.27832110531
-0.058663472848558,-0.0735227521808187,-0.110019284509084,0.0651714971010634,0.0354592270477579,0.134499174488216,-0.211174542135191,0.272868542651007,-0.237858929681276,-0.105376317323463,-1.08615002021745,-0.047450789064636,-0.343950264274622,0.755901572991555,0.588790130396084,0.819353711727538,-9282.27832110487
-0.0586634687015994,-0.0735227434141297,-0.110019277459095,0.0651716872083624,0.0354591589360975,0.134499118598197,-0.211174643300202,0.272868498935611,-0.23785901497451,-0.105376348972472,-1.08614997482193,-0.0474508453693807,-0.343950302602493,0.755901489365491,0.588790013459354,0.819353555134207,-9282.27832110466
-0.0586634631873751,-0.0735227373810138,-0.110019266283608,0.0651717386217364,0.0354590586432146,0.13449898271731,-0.211174554042464,0.272868519623693,-0.237858929674121,-0.105376293243506,-1.08614973163138,-0.0474509449635177,-0.343950607663651,0.755901112410355,0.588789888478446,0.819353545893048,-9282.27832110463
-0.0586634606615579,-0.0735227343338914,-0.110019261386201,0.0651716527976813,0.0354590682245518,0.134498963544056,-0.211174596620263,0.272868502857823,-0.237858931854154,-0.105376350008563,-1.08614969793096,-0.0474509620004147,-0.343950562786563,0.755900851527009,0.588789918834202,0.819353497649649,-9282.27832110461
-0.0586634602773007,-0.0735227333514799,-0.11001926029715,0.0651716115073076,0.0354590274565886,0.134498949062326,-0.211174627481734,0.272868501206014,-0.237858922835384,-0.105376306087628,-1.08614972464646,-0.0474509286650811,-0.343950549029343,0.755900810604609,0.588789883178847,0.819353488121848,-9282.2783211046
-0.0586634609506403,-0.073522730025818,-0.110019259952114,0.0651713491182086,0.0354587271913195,0.134498674874529,-0.21117497268011,0.272868492388852,-0.237858897272715,-0.105376209505622,-1.08614948751158,-0.0474508468538396,-0.343950382174926,0.755900813457256,0.588789820711149,0.819353585977228,-9282.27832110459
-0.0586634604079129,-0.073522726964824,-0.110019257438129,0.065171268076627,0.0354586546883126,0.134498539097658,-0.211175026976168,0.272868478004484,-0.237858871753177,-0.105376184313607,-1.08614945556834,-0.0474508030185068,-0.343950386797963,0.755900841624191,0.588789888464383,0.819353508415982,-9282.27832110458
-0.0586634641675278,-0.0735227223554071,-0.110019261296492,0.0651711700417995,0.0354584767497866,0.134498466557327,-0.211175066709539,0.272868476403205,-0.237858990590154,-0.105376151975675,-1.08614960868914,-0.0474510393537051,-0.343950458677135,0.755900865579626,0.588790024006157,0.819353534299281,-9282.27832110448
-0.0586634708849369,-0.0735227061467418,-0.110019267710032,0.06517106363058,0.0354583744504227,0.134498395725045,-0.211175194816838,0.272868480734277,-0.23785915068619,-0.105376408339215,-1.08614986026711,-0.047451047563679,-0.343950738597114,0.755900904179442,0.588790072020687,0.819353674420743,-9282.27832110426
-0.0586634723007194,-0.0735226790341449,-0.110019263735678,0.0651710481209612,0.0354586227373535,0.134498476818198,-0.211175336053381,0.27286842650419,-0.237858984228226,-0.105376389846546,-1.08614989952957,-0.0474511506556764,-0.343950807069595,0.755900968520329,0.588789996906798,0.819353642037034,-9282.278321104
-0.0586634733296341,-0.0735226498993497,-0.110019257391832,0.0651712070447139,0.0354586582702502,0.134498831420819,-0.211175211317883,0.272868380409367,-0.237859022509031,-0.105376224772711,-1.08614966792148,-0.0474509406387548,-0.343950702791525,0.755900961324434,0.588790096725011,0.819353562607217,-9282.27832110374
-0.0586634765861802,-0.0735226360193754,-0.110019257227319,0.0651713587949551,0.035458957625783,0.134498730558953,-0.211174978348899,0.272868380650259,-0.23785934696819,-0.10537595098713,-1.0861495292529,-0.0474507489382964,-0.343950509383096,0.755900906388982,0.588790086053853,0.819353622192033,-9282.27832110364
-0.0586634759963112,-0.0735226344512286,-0.110019255947293,0.0651713303100692,0.0354589606576052,0.134498738911621,-0.21117496007832,0.27286837805852,-0.237859366170378,-0.105375958566395,-1.08614951627588,-0.047450755074422,-0.343950510292075,0.755900917595781,0.588790061917857,0.819353603153445,-9282.27832110363
-0.0586634896026033,-0.0735225137054861,-0.110019247248893,0.0651714294382307,0.0354594113798514,0.134499401728718,-0.211175176454401,0.272868194049913,-0.237859251776658,-0.105376035913684,-1.08614977504212,-0.0474508492685344,-0.343950981323478,0.755901119746388,0.588790224686542,0.819353513756401,-9282.27832110342
-0.0586634848096076,-0.0735225549420347,-0.110019249970788,0.0651713925955538,0.0354592601536866,0.134499180116784,-0.211175100625011,0.272868256733053,-0.237859289004677,-0.105376008662238,-1.08614968317463,-0.0474508178660053,-0.343950820242711,0.7559010480446,0.588790165733819,0.819353541355649,-9282.27832110335
-0.058663484784611,-0.0735225549085101,-0.11001924991394,0.0651713904653553,0.0354592412666353,0.134499177317784,-0.211175102988119,0.272868241665709,-0.237859288912054,-0.10537600735543,-1.08614968149206,-0.0474508166026787,-0.343950803097968,0.755901047228861,0.588790165639017,0.819353540797828,-9282.27832110335
